"x","y"
5.07,108
3.07,74
4.27,89
6.93,341
0.85,8
2.25,22
2.75,57
2.72,41
6.16,232
4.3,64
6.52,247
5.68,124
1.14,12
5.96,156
3.58,68
4.29,119
0.52,3
2.64,33
3.99,83
8.36,326
8.65,495
6.15,171
7.75,434
3.56,80
4.06,82
7.07,307
8.38,486
2.4,39
7.71,429
3.56,85
5.36,104
0.93,9
1.7,13
9,529
4.23,57
7.48,288
8.23,364
9.55,756
6.85,357
5.01,132
2.75,74
2.29,29
0.14,1
7.29,344
2.5,38
1.61,32
0.17,6
4.86,113
1.03,15
8.02,323
3.54,48
9.36,507
2.46,40
4.73,111
1.92,31
5.83,129
4.59,110
4.67,94
4,68
5.05,135
0.32,2
1.14,12
4.69,118
3.97,99
8.34,482
7.61,267
5.73,139
4.48,72
0.84,15
2.19,55
0.76,4
5.34,83
6.41,311
5.26,113
0.39,7
5.46,146
3.73,59
9.61,695
2.57,36
2.08,27
8.61,331
4.64,122
2.23,31
6.24,191
2.04,28
0.2,0
7.98,359
2.74,43
1.67,26
1.7,31
4.89,192
7.11,348
5.92,247
5.17,113
3.82,63
8.35,502
2.49,40
5.41,150
7.44,328
0.3,0
