"Probe_ID","Probe_Name"
"AFFX-HUMISGF3A/M97935_MA_at","AFFX-HUMISGF3A/M97935_MA_at (endogenous control)"
"AFFX-HUMISGF3A/M97935_MB_at","AFFX-HUMISGF3A/M97935_MB_at (endogenous control)"
"AFFX-HUMISGF3A/M97935_3_at","AFFX-HUMISGF3A/M97935_3_at (endogenous control)"
"AFFX-HUMRGE/M10098_5_at","AFFX-HUMRGE/M10098_5_at (endogenous control)"
"AFFX-HUMRGE/M10098_M_at","AFFX-HUMRGE/M10098_M_at (endogenous control)"
"AFFX-HUMRGE/M10098_3_at","AFFX-HUMRGE/M10098_3_at (endogenous control)"
"AFFX-HUMGAPDH/M33197_5_at","AFFX-HUMGAPDH/M33197_5_at (endogenous control)"
"AFFX-HUMGAPDH/M33197_M_at","AFFX-HUMGAPDH/M33197_M_at (endogenous control)"
"AFFX-HSAC07/X00351_5_at","AFFX-HSAC07/X00351_5_at (endogenous control)"
"AFFX-HSAC07/X00351_M_at","AFFX-HSAC07/X00351_M_at (endogenous control)"
"AFFX-HUMTFRR/M11507_5_at","AFFX-HUMTFRR/M11507_5_at (endogenous control)"
"AFFX-HUMTFRR/M11507_M_at","AFFX-HUMTFRR/M11507_M_at (endogenous control)"
"AFFX-HUMTFRR/M11507_3_at","AFFX-HUMTFRR/M11507_3_at (endogenous control)"
"AFFX-M27830_5_at","AFFX-M27830_5_at (endogenous control)"
"AFFX-M27830_M_at","AFFX-M27830_M_at (endogenous control)"
"AFFX-M27830_3_at","AFFX-M27830_3_at (endogenous control)"
"AFFX-HSAC07/X00351_3_st","AFFX-HSAC07/X00351_3_st (endogenous control)"
"AFFX-HUMGAPDH/M33197_M_st","AFFX-HUMGAPDH/M33197_M_st (endogenous control)"
"AFFX-HUMGAPDH/M33197_3_st","AFFX-HUMGAPDH/M33197_3_st (endogenous control)"
"AFFX-HSAC07/X00351_M_st","AFFX-HSAC07/X00351_M_st (endogenous control)"
"A28102_at","GB DEF = GABAa receptor alpha-3 subunit"
"AB000115_at","mRNA"
"AB000449_at","VRK1"
"AB000464_at","mRNA, clone RES4-24A, exon 1, 2, 3, 4"
"AB000468_at","Zinc finger protein, clone RES4-26"
"AB000584_at","Prostate differentiation factor mRNA"
"AB001106_at","GLIA MATURATION FACTOR BETA"
"AB001325_at","AQP3 Aquaporin 3"
"AB002315_at","KIAA0317 gene"
"AB002318_at","KIAA0320 gene, partial cds"
"AB002382_at","KIAA0384 gene"
"AB002559_at","Hunc18b2"
"AB003177_at","Proteasome subunit p27"
"AC000061_cds2_at","WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2"
"AC000064_cds1_at","WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22"
"AC002073_cds1_at","WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22"
"AC002115_cds1_at","COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"
"AC002115_rna2_at","F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence"
"AF000231_at","RAS-RELATED PROTEIN RAB-11A"
"AF000560_at","TTF-I interacting peptide 20 mRNA, partial cds"
"AF000562_at","Uroplakin II mRNA, partial cds"
"AF002224_at","GB DEF = Angelman Syndrome Gene, E6-AP ubiquitin protein ligase 3A (UBE3A) mRNA from promoter P1, 5'UTR"
"AF002700_at","RET ligand 2 (RETL2) mRNA"
